,PDBID,pK
0,1ps3,2.28
1,3d4z,4.89
2,3ejr,8.57
3,2qmj,4.21
4,3l4w,6.00
5,3l4u,7.52
6,3l7b,2.40
7,3g2n,4.09
8,3ebp,5.91
9,2w66,4.05
10,2wca,5.60
11,2vvn,7.30
12,2x97,5.66
13,2xhm,6.80
14,2x8z,7.96
15,2x0y,4.60
16,2cbj,8.27
17,2j62,11.34
18,3bkk,6.08
19,3l3n,8.18
20,2xy9,9.19
21,1gpk,5.37
22,1h23,8.35
23,1e66,9.89
24,3cj2,4.85
25,2d3u,6.92
26,3gnw,9.10
27,3f3a,4.19
28,3f3c,6.02
29,3f3e,7.70
30,4gqq,2.89
31,1u33,4.60
32,1xd0,7.12
33,2wbg,4.45
34,2j78,6.42
35,2cet,8.02
36,2zxd,5.22
37,2zwz,7.79
38,2zx6,10.60
39,3udh,2.85
40,4djv,6.72
41,4gid,10.77
42,3fk1,2.62
43,2qft,5.26
44,2pq9,8.11
45,1f8d,3.40
46,1f8b,5.40
47,1f8c,7.40
48,1n2v,4.08
49,1r5y,6.46
50,3ge7,8.70
51,3huc,5.99
52,3gcs,7.25
53,3e93,8.85
54,1q8t,4.76
55,1q8u,5.96
56,3ag9,8.05
57,3owj,6.07
58,2zjw,7.70
59,3pe2,9.76
60,2v00,3.66
61,3pww,7.32
62,3uri,9.00
63,3mfv,2.52
64,3f80,4.22
65,3kv2,7.32
66,2hb1,3.80
67,2qbr,6.33
68,2qbp,8.40
69,3fcq,2.77
70,1os0,6.03
71,4tmn,10.17
72,3pxf,4.43
73,2xnb,6.83
74,2fvd,8.52
75,1qi0,2.35
76,1w3k,4.30
77,1w3l,6.28
78,3imc,2.96
79,3ivg,4.30
80,3coy,6.02
81,3b3s,2.55
82,3b3w,4.19
83,3vh9,6.24
84,3mss,4.66
85,3k5v,6.30
86,2v7a,8.30
87,2brb,4.86
88,3jvs,6.54
89,1nvq,8.25
90,3acw,4.76
91,2zcr,6.87
92,2zcq,8.82
93,1bcu,3.28
94,1oyt,7.24
95,3utu,10.92
96,3u9q,4.38
97,2yfe,6.63
98,2p4y,9.00
99,3uo4,6.52
100,2wtv,8.74
101,3myg,10.70
102,3kgp,2.57
103,1o5b,5.77
104,1sqa,9.21
105,3kwa,4.08
106,2weg,6.50
107,3dd0,9.00
108,2xdl,3.10
109,1yc1,6.17
110,2yki,9.46
111,1p1q,4.89
112,3bfu,6.27
113,4g8m,7.89
114,3g2z,2.36
115,4de2,4.12
116,4de1,5.96
117,1vso,4.72
118,3gbb,6.90
119,3fv1,9.30
120,2y5h,5.79
121,2xbv,8.43
122,1mq6,11.15
123,1loq,3.70
124,1lol,6.39
125,1lor,11.06
126,1uto,2.27
127,3gy4,5.10
128,1o3f,7.96
129,2yge,5.06
130,2iwx,6.68
131,2vw5,8.52
132,2ymd,3.16
133,2xys,7.42
134,2x00,11.33
135,2r23,3.72
136,3bpc,4.80
137,1kel,7.28
138,3ozt,4.13
139,3oe5,6.88
140,3nw9,9.00
141,1zea,5.22
142,2pcp,8.70
143,1igj,10.00
144,1lbk,3.18
145,2gss,4.94
146,10gs,6.40
147,3su5,5.58
148,3su2,7.35
149,3su3,9.13
150,3n7a,3.70
151,3n86,5.64
152,2xb8,7.59
153,3ao4,2.07
154,3zsx,3.28
155,3zso,5.12
156,3nq3,3.78
157,3ueu,5.24
158,3uex,6.92
159,3lka,2.82
160,3ehy,5.85
161,3f17,8.63
162,3cft,4.19
163,4des,5.85
164,4dew,7.00
165,3dxg,2.40
166,1w4o,5.22
167,1u1b,7.80
168,3ov1,5.20
169,3s8o,6.85
170,1jyq,8.70
171,1a30,4.30
172,3cyx,8.00
173,4djr,11.52
174,3i3b,2.23
175,3muz,3.46
176,3vd4,4.82
177,2vo5,4.89
178,2vl4,6.01
179,2vot,7.14
180,1n1m,5.70
181,2ole,7.25
182,3nox,8.66
183,1hnn,6.24
184,2g70,7.77
185,2obf,8.85
186,1z95,7.12
187,3b68,8.40
188,3g0w,9.52
189,1sln,6.64
190,2d1o,7.70
191,1hfs,8.70
192,2jdy,4.37
193,2jdm,5.40
194,2jdu,6.72
