,PDBID,pK
0,2r58,2.00
1,3c2f,2.00
2,3g2y,2.00
3,3pce,2.00
4,4qsu,2.00
5,4qsv,2.00
6,1jfh,2.05
7,3ao4,2.07
8,4cs9,2.10
9,2w8w,2.12
10,3gv9,2.12
11,4tim,2.16
12,3gqz,2.17
13,3l7d,2.18
14,4ahr,2.19
15,4ahs,2.19
16,4mre,2.19
17,1x8d,2.21
18,4g0z,2.21
19,1m0n,2.22
20,2aac,2.22
21,4aci,2.22
22,1ajp,2.23
23,2igv,2.23
24,3ao5,2.23
25,3i3b,2.23
26,1ew8,2.26
27,3ao1,2.26
28,4np2,2.26
29,1uto,2.27
30,4ahu,2.27
31,1ps3,2.28
32,3ip8,2.28
33,4ddk,2.29
34,3dyo,2.30
35,3kgq,2.30
36,3mhw,2.30
37,3pcg,2.30
38,3rv4,2.30
39,4g0y,2.30
40,4jsz,2.30
41,1m0o,2.31
42,4iie,2.34
43,3gtc,2.35
44,3g2z,2.36
45,3t0d,2.37
46,6rnt,2.37
47,3f6e,2.38
48,1f73,2.39
49,1nwl,2.39
50,3dxg,2.40
51,3l7b,2.40
52,1oba,2.44
53,2i2b,2.44
54,3l7c,2.44
55,3mjl,2.44
56,3l79,2.46
57,4ddm,2.46
58,1tok,2.47
59,1utl,2.47
60,1gyx,2.48
61,4efk,2.49
62,4kz7,2.49
63,1ai4,2.50
64,3g30,2.51
65,3bf1,2.52
66,3gr2,2.52
67,3mfv,2.52
68,3vdb,2.52
69,4g0q,2.52
70,4hj2,2.53
71,3b3s,2.55
72,3ovn,2.55
73,1gwv,2.57
74,3kgp,2.57
75,3gvb,2.59
76,4o3c,2.59
77,2r5a,2.60
78,4up5,2.60
79,3f37,2.62
80,3fk1,2.62
81,1ajn,2.63
82,4i8x,2.64
83,3a1e,2.66
84,3lvw,2.67
85,4b3c,2.68
86,4b3d,2.68
87,3elc,2.69
88,2fzc,2.70
89,2uyn,2.70
90,3bra,2.70
91,1pfu,2.72
92,2rkd,2.72
93,2qwb,2.74
94,2vyt,2.74
95,4m6u,2.74
96,4ndu,2.74
97,1rql,2.75
98,4bt5,2.76
99,2bet,2.77
100,3fcq,2.77
101,4kz3,2.77
102,2bza,2.80
103,3djx,2.81
104,3lka,2.82
105,3ppr,2.82
106,4dsu,2.82
107,4k7i,2.82
108,3moh,2.84
109,3zt2,2.84
110,3udh,2.85
111,3qx8,2.86
112,3zt3,2.86
113,4ouj,2.86
114,1cet,2.89
115,1iih,2.89
116,1ugp,2.89
117,3g31,2.89
118,4b35,2.89
119,4gqq,2.89
120,4kzb,2.89
121,4llx,2.89
122,3c2u,2.90
123,1h2k,2.92
124,2fw6,2.92
125,3alt,2.92
126,3k8c,2.92
127,4ai5,2.92
128,4ef6,2.92
129,4lm3,2.92
130,4u4s,2.92
131,1tng,2.93
132,2vmc,2.94
133,1f4e,2.96
134,2w8j,2.96
135,3dhv,2.96
136,3g34,2.96
137,3imc,2.96
138,4dst,2.96
139,4mrg,2.96
140,4owm,2.96
141,2hw2,2.97
142,4ceb,2.97
143,3ckb,2.98
144,3djq,2.98
145,4ibc,2.98
146,4bps,2.99
147,1ecq,3.00
148,1ws4,3.00
149,2q8h,3.00
150,2rka,3.00
151,2v3u,3.00
152,3ime,3.00
153,4b2i,3.00
154,4k0o,3.00
155,4l51,3.00
156,4llk,3.00
157,4r3w,3.00
158,1utm,3.01
159,4g0p,3.01
160,2vmd,3.02
161,1ogd,3.03
162,2ha3,3.03
163,3adv,3.03
164,4lm2,3.03
165,1rtf,3.04
166,3t08,3.04
167,3t1m,3.04
168,4i7k,3.04
169,4lm4,3.04
170,1f74,3.05
171,1uj5,3.05
172,1uj6,3.05
173,4g5f,3.05
174,2jfh,3.06
175,1rnm,3.07
176,3mof,3.07
177,1y1z,3.08
178,1ec9,3.10
179,2xdl,3.10
180,3buf,3.10
181,3f78,3.10
182,4cjr,3.10
183,4kz6,3.10
184,3c2r,3.11
185,4bt3,3.12
186,4cgi,3.12
187,1ax0,3.13
188,2ya7,3.14
189,4b34,3.14
190,1e6q,3.15
191,4de5,3.15
192,4fzj,3.15
193,4lw1,3.15
194,2ymd,3.16
195,3f34,3.16
196,1lbk,3.18
197,1ro7,3.18
198,3bug,3.18
199,3dxh,3.19
200,3g1v,3.19
201,4gzx,3.19
202,1s5z,3.21
203,1br6,3.22
204,1e6s,3.22
205,1ew9,3.22
206,1k1y,3.22
207,1tog,3.22
208,1zc9,3.22
209,2ri9,3.22
210,2uy3,3.22
211,3aru,3.22
212,4n5d,3.22
213,1px4,3.23
214,3zsy,3.23
215,4lm1,3.23
216,3qfz,3.24
217,4b2l,3.24
218,1v2j,3.25
219,3ta1,3.25
220,4lm0,3.25
221,3t1l,3.26
222,5yas,3.26
223,3ioe,3.27
224,1bcu,3.28
225,3d52,3.28
226,3tfu,3.28
227,3zsx,3.28
228,4fl1,3.28
229,1d7j,3.30
230,1phw,3.30
231,1tpw,3.30
232,2vw2,3.30
233,3aaq,3.30
234,3hcm,3.30
235,4ddh,3.30
236,4jss,3.30
237,4mrw,3.30
238,4msa,3.30
239,4np3,3.30
240,1i2s,3.31
241,1pzp,3.31
242,1pzo,3.32
243,2wk6,3.32
244,4cjp,3.32
245,4i7j,3.32
246,188l,3.33
247,1jlr,3.33
248,2pnc,3.33
249,4ab9,3.33
250,4b0b,3.33
251,4b5t,3.33
252,4b5w,3.33
253,3f33,3.34
254,4b32,3.34
255,4bt4,3.34
256,3c2o,3.35
257,3pwk,3.35
258,4lkq,3.35
259,2vc7,3.36
260,4cj4,3.36
261,187l,3.37
262,1tnh,3.37
263,1v2u,3.37
264,3d8z,3.37
265,3n35,3.37
266,4b33,3.37
267,2fzg,3.38
268,3tay,3.38
269,3w07,3.38
270,1toj,3.39
271,4ipn,3.39
272,4lhm,3.39
273,1bxr,3.40
274,1f8d,3.40
275,1ikt,3.40
276,1l83,3.40
277,1m83,3.40
278,1uz4,3.40
279,2vvp,3.40
280,3d8y,3.40
281,3jzh,3.40
282,4abe,3.40
283,2v2c,3.41
284,2qtn,3.42
285,2sim,3.42
286,2w08,3.42
287,3iob,3.42
288,4llj,3.42
289,4n8q,3.42
290,2xog,3.43
291,3axz,3.43
292,4umc,3.44
293,3nik,3.45
294,1moq,3.46
295,3muz,3.46
296,4k5p,3.46
297,4tz2,3.46
298,3ta0,3.47
299,4epy,3.47
300,4h42,3.47
301,2p3i,3.48
302,3g1d,3.48
303,3gx0,3.48
304,3nyd,3.48
305,4k7n,3.48
306,1c5o,3.49
307,1utn,3.49
308,4avs,3.49
309,4b5s,3.49
310,4i7p,3.50
311,2r0h,3.51
312,1jys,3.52
313,2j27,3.52
314,2vw1,3.52
315,3lcu,3.52
316,3mfw,3.52
317,4eky,3.52
318,4mrz,3.52
319,185l,3.54
320,3obq,3.54
321,1v2r,3.55
322,2cle,3.55
323,2qwc,3.55
324,4aji,3.55
325,1h46,3.57
326,1np0,3.57
327,3ff3,3.57
328,4abg,3.57
329,4ck3,3.57
330,4ibb,3.57
331,3dx1,3.58
332,1nli,3.59
333,2gsu,3.59
334,4cjq,3.59
335,1d7i,3.60
336,2fzk,3.60
337,2qpu,3.60
338,2xdk,3.60
339,3afk,3.60
340,3b3x,3.60
341,3g0i,3.60
342,3jdw,3.60
343,3m3o,3.60
344,4b3b,3.60
345,3jzj,3.61
346,3sk2,3.61
347,1pb9,3.62
348,4bkt,3.62
349,4lyw,3.63
350,1gyy,3.64
351,2azr,3.64
352,2rk8,3.64
353,4iuo,3.64
354,4agl,3.65
355,2qv7,3.66
356,2v00,3.66
357,3buh,3.66
358,3oy8,3.66
359,3pcn,3.66
360,3t2q,3.66
361,4aia,3.66
362,4fl2,3.66
363,4cig,3.67
364,4ibd,3.67
365,1c3x,3.68
366,2x6x,3.68
367,3ioc,3.68
368,3isj,3.68
369,4aje,3.68
370,4io7,3.68
371,4isu,3.68
372,2a8g,3.69
373,3d7b,3.69
374,4tte,3.69
375,1gz4,3.70
376,1loq,3.70
377,1pdz,3.70
378,1wht,3.70
379,2bvr,3.70
380,2fx6,3.70
381,3l59,3.70
382,3n7a,3.70
383,2vfk,3.71
384,3fj7,3.71
385,3g32,3.71
386,1ai5,3.72
387,1grp,3.72
388,2am4,3.72
389,2r23,3.72
390,3f5l,3.72
391,3q6z,3.72
392,4tln,3.72
393,3fjg,3.73
394,4fz3,3.73
395,1f5k,3.74
396,2wq5,3.74
397,2pyi,3.75
398,3d6p,3.75
399,2x09,3.76
400,3d6q,3.76
401,4tu4,3.76
402,1kui,3.77
403,2v2h,3.77
404,2y9g,3.77
405,3ao2,3.77
406,3nq3,3.78
407,2clk,3.79
