,PDBID,pK
0,2hdq,1.4
1,1utp,1.44
2,1u2y,1.74
3,1bra,1.82
4,1y1m,1.82
5,3pce,2.0
6,4tim,2.16
7,1m0n,2.22
8,1ajp,2.23
9,6rnt,2.37
10,1tok,2.47
11,2fzc,2.7
12,2qwb,2.74
13,1f4e,2.96
14,1zc9,3.22
15,1bcu,3.28
16,1d7j,3.3
17,1toj,3.39
18,1jys,3.52
19,1pb9,3.62
20,2azr,3.64
21,1loq,3.7
22,1ai5,3.72
23,4tln,3.72
24,1f5k,3.74
25,1nje,3.8
26,1j16,3.84
27,1v16,3.87
28,1m0q,3.89
29,2ctc,3.89
30,1avn,3.9
31,1slg,3.9
32,2rkm,3.9
33,1pr5,3.92
34,2g8r,3.99
35,2c02,4.04
36,1toi,4.05
37,1n2v,4.08
38,1kv5,4.22
39,1a30,4.3
40,1det,4.3
41,1ajq,4.31
42,1olu,4.41
43,1jaq,4.48
44,1hi4,4.49
45,1bma,4.59
46,1l2s,4.59
47,1u33,4.6
48,1f4f,4.62
49,1v2o,4.73
50,1sv3,4.74
51,1q8t,4.76
52,2qwd,4.85
53,2brb,4.86
54,1p1q,4.89
55,2j77,4.89
56,1e1v,4.92
57,2gss,4.94
58,1tsy,4.96
59,2d0k,5.02
60,1jqd,5.16
61,1rnt,5.19
62,1j17,5.22
63,1ndw,5.23
64,1fh7,5.24
65,1a69,5.3
66,1hk4,5.31
67,1gpk,5.37
68,1pz5,5.4
69,1trd,5.4
70,3pch,5.4
71,1g7f,5.47
72,1ha2,5.54
73,1vfn,5.6
74,1a08,5.62
75,1nhu,5.66
76,2h3e,5.7
77,2b1v,5.74
78,2flb,5.74
79,1ppm,5.8
80,1ols,5.82
81,3gss,5.82
82,1k4g,5.85
83,2brm,5.89
84,1o0h,5.92
85,1kv1,5.94
86,1b9j,5.96
87,1uwt,5.97
88,1xgj,6.0
89,5er1,6.02
90,1g7q,6.06
91,1m2q,6.1
92,1nc1,6.12
93,1zs0,6.15
94,1ndy,6.17
95,2fai,6.24
96,1pbq,6.27
97,1nja,6.31
98,1syh,6.31
99,1ela,6.36
100,1lol,6.39
101,10gs,6.4
102,1a1b,6.4
103,2j78,6.42
104,1fh9,6.43
105,2bzz,6.43
106,1f4g,6.48
107,2usn,6.51
108,1k9s,6.52
109,2bok,6.55
110,2d3z,6.64
111,1o3p,6.66
112,1om1,6.77
113,1fh8,6.89
114,1b39,6.92
115,2d3u,6.92
116,1fki,7.0
117,1is0,7.0
118,1tyr,7.0
119,2aov,7.04
120,2bz6,7.09
121,1elb,7.15
122,1fcx,7.19
123,1q7a,7.19
124,3pcj,7.22
125,1dhi,7.26
126,2ceq,7.28
127,2cgr,7.28
128,1tmn,7.3
129,1ydt,7.32
130,1ttm,7.35
131,1zoe,7.4
132,2er9,7.4
133,2bak,7.43
134,1vzq,7.44
135,2qwe,7.48
136,1d09,7.57
137,2fdp,7.59
138,1ftm,7.61
139,1e5a,7.64
140,1nny,7.66
141,1s39,7.7
142,2d1o,7.7
143,2aou,7.73
144,1u1b,7.8
145,1v48,7.8
146,1xd1,7.92
147,1o3f,7.96
148,1apw,8.0
149,1b7h,8.02
150,2cet,8.02
151,1gni,8.07
152,1fzj,8.1
153,1ndz,8.11
154,2f80,8.18
155,1nvq,8.25
156,1h23,8.35
157,1fd0,8.4
158,1fzk,8.4
159,2baj,8.4
160,1jq9,8.45
161,2g5u,8.49
162,6std,8.64
163,1hfs,8.7
164,1pxo,8.7
165,2b7d,8.7
166,1fkn,8.8
167,1nfy,8.89
168,8cpa,9.15
169,1sqa,9.21
170,1fcz,9.22
171,1zvx,9.22
172,2cer,9.22
173,2ayr,9.29
174,4er2,9.3
175,1re8,9.52
176,2g94,9.52
177,1df8,9.7
178,1fkb,9.7
179,2std,9.85
180,1e66,9.89
181,2drc,9.89
182,1bxo,10.0
183,1flr,10.0
184,4tmn,10.1
185,1if7,10.5
186,1b8o,10.6
187,1x1z,11.0
188,3std,11.1
189,1mq6,11.1
190,1y6q,11.7
191,1sl3,11.8
192,2i0d,12.1
193,2f01,13.0
194,7cpa,13.9
