,PDBID,pK
0,1w8l,0.49
1,1wkm,0.82
2,2a31,1.01
3,1f9g,1.28
4,1b74,1.3
5,1qpb,1.36
6,2hdq,1.4
7,1utp,1.44
8,1tnk,1.49
9,1w8m,1.6
10,1rdj,1.66
11,2hdr,1.72
12,1u2y,1.74
13,1ga8,1.8
14,1af6,1.82
15,1bra,1.82
16,1d5r,1.82
17,1y1m,1.82
18,1rdn,1.84
19,1tnl,1.88
20,1f2p,1.9
21,1f2o,1.91
22,1tnj,1.96
23,3pce,2.0
24,1jfh,2.05
25,1qq9,2.06
26,1rdi,2.06
27,1njj,2.1
28,1uxb,2.15
29,4tim,2.16
30,1x8d,2.21
31,1icj,2.22
32,1m0n,2.22
33,2aac,2.22
34,1ajp,2.23
35,1rdl,2.24
36,1ew8,2.26
37,1uto,2.27
38,1ps3,2.28
39,1uxa,2.3
40,3pcg,2.3
41,1m0o,2.31
42,1qi0,2.35
43,6rnt,2.37
44,1nwl,2.39
45,3pcb,2.4
46,1oba,2.44
47,1tok,2.47
48,1utl,2.47
49,1gyx,2.48
50,1ai4,2.5
51,1gwv,2.57
52,2c4v,2.6
53,1ajn,2.63
54,1o8b,2.68
55,2fzc,2.7
56,1pfu,2.72
57,2qwb,2.74
58,1rql,2.75
59,2bza,2.8
60,1cet,2.89
61,1iih,2.89
62,1ugp,2.89
63,2fkf,2.92
64,2fw6,2.92
65,2fwp,2.92
66,1tng,2.93
67,1f4e,2.96
68,1ykp,2.96
69,2br6,2.96
70,1ecq,3.0
71,1hqg,3.0
72,1ux7,3.0
73,1ws4,3.0
74,1utm,3.01
75,1ws5,3.03
76,1uj5,3.05
77,1uj6,3.05
78,1y1z,3.08
79,1af2,3.1
80,1ec9,3.1
81,1pu7,3.1
82,1pu8,3.1
83,1ax0,3.13
84,1e6q,3.15
85,1ro7,3.18
86,1axz,3.2
87,6tim,3.21
88,1br6,3.22
89,1e6s,3.22
90,1ew9,3.22
91,1k1y,3.22
92,1tog,3.22
93,1zc9,3.22
94,1px4,3.23
95,1v2j,3.25
96,5yas,3.26
97,1bcu,3.28
98,1d7j,3.3
99,1pzp,3.31
100,1pzo,3.32
101,1jlr,3.33
102,1tnh,3.37
103,1v2u,3.37
104,2fzg,3.38
105,1toj,3.39
106,1bxr,3.4
107,1ikt,3.4
108,1jt1,3.4
109,1l83,3.4
110,1m83,3.4
111,1uz4,3.4
112,220l,3.4
113,2sim,3.42
114,1moq,3.46
115,1c5o,3.49
116,1gzc,3.49
117,1utn,3.49
118,1gz9,3.51
119,1imx,3.52
120,1jys,3.52
121,1vjd,3.54
122,1v2r,3.55
123,2qwc,3.55
124,1h46,3.57
125,1vjc,3.58
126,1nli,3.59
127,2gsu,3.59
128,1d7i,3.6
129,2fzk,3.6
130,3jdw,3.6
131,1pb9,3.62
132,3pcc,3.62
133,1gyy,3.64
134,2azr,3.64
135,3pcn,3.66
136,1c3x,3.68
137,1qsc,3.68
138,2a8g,3.69
139,1fwu,3.7
140,1gz3,3.7
141,1gz4,3.7
142,1loq,3.7
143,1pdz,3.7
144,1wht,3.7
145,2bjm,3.7
146,2bmz,3.7
147,2fx6,3.7
148,1ai5,3.72
149,1fwv,3.72
150,1grp,3.72
151,2am4,3.72
152,4tln,3.72
153,1f5k,3.74
154,1li6,3.8
155,1nje,3.8
156,2hb1,3.8
157,2hu6,3.81
158,1r0x,3.83
159,1j16,3.84
160,1utj,3.84
161,1n1t,3.85
162,1aj7,3.87
163,1v16,3.87
164,1m0q,3.89
165,2ctc,3.89
166,1avn,3.9
167,1slg,3.9
168,2gvv,3.9
169,2rkm,3.9
170,1pr5,3.92
171,2a5b,3.93
172,2cbz,3.93
173,1v1m,3.94
